JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458353.301664,168.133091,207516.343750,19.761352
2458353.320954,168.126846,209097.562500,19.753030
2458353.340244,168.120597,246415.296875,19.574653
2458353.359534,168.114343,175485.031250,19.943142
2458353.378824,168.108085,255861.406250,19.533650
2458353.398114,168.101821,276909.187500,19.447739
2458353.417404,168.095553,180003.531250,19.915300
2458353.436695,168.089281,156549.906250,20.066790
2458353.455985,168.083003,222357.546875,19.685712
2458353.475275,168.076721,174832.640625,19.946706
2458353.494565,168.070434,200598.484375,19.797363
2458353.513855,168.064143,211574.687500,19.739442
2458353.533145,168.057847,228510.906250,19.655754
2458353.552435,168.051546,241633.671875,19.595048
2458353.571725,168.045241,202972.375000,19.784269
2458353.591015,168.038930,233573.203125,19.631723
2458353.610306,168.032616,269130.281250,19.477794
2458353.629596,168.026296,213300.906250,19.730139
2458353.648886,168.019972,161462.062500,20.032364
2458353.668176,168.013643,217627.281250,19.708177
2458353.687466,168.007310,184918.421875,19.884930
2458353.706756,168.000972,211874.015625,19.737106
2458353.726046,167.994629,201147.218750,19.793435
2458353.745336,167.988282,221572.531250,19.688350
2458353.764627,167.981930,220078.187500,19.695617
2458353.783917,167.975574,249229.187500,19.560482
2458353.803207,167.969213,203132.390625,19.782451
2458353.822497,167.962847,264030.625000,19.497683
2458353.841787,167.956477,272119.687500,19.464838
2458353.861077,167.950103,179389.000000,19.917168
2458353.880367,167.943723,176862.515625,19.932488
2458353.899657,167.937339,221572.046875,19.687710
2458353.918948,167.930951,184661.859375,19.885474
2458353.938238,167.924558,192171.765625,19.842112
2458353.957528,167.918160,219968.640625,19.695354
2458353.976818,167.911758,222331.750000,19.683672
2458353.996108,167.905351,260567.093750,19.511296
2458354.015398,167.898940,186383.593750,19.874996
2458354.034688,167.892524,260984.156250,19.509399
2458354.053978,167.886104,291763.000000,19.388279
2458354.073269,167.879679,196497.281250,19.817382
2458354.092559,167.873250,171854.015625,19.962794
2458354.111849,167.866816,228897.406250,19.651511
2458354.131139,167.860378,185952.468750,19.877028
2458354.150429,167.853935,219690.937500,19.695922
2458354.169719,167.847488,224743.578125,19.671153
2458354.189009,167.841036,244219.109375,19.580842
2458354.208299,167.834580,241319.171875,19.593731
2458354.227590,167.828119,233970.187500,19.627229
2458354.246880,167.821654,222679.843750,19.680848
2458354.266170,167.815184,274412.875000,19.453958
2458354.285460,167.808710,250502.312500,19.552859
2458354.304750,167.802231,174359.984375,19.946191
2458354.324040,167.795748,208810.437500,19.750347
2458354.343330,167.789261,212698.359375,19.730237
2458354.362620,167.782769,211767.515625,19.734918
2458354.381911,167.776272,206414.109375,19.762638
2458354.401201,167.769771,231441.828125,19.638301
2458354.420491,167.763266,229911.500000,19.645423
2458354.439781,167.756756,259083.156250,19.515646
2458354.459071,167.750242,194933.140625,19.824450
2458354.478361,167.743724,272176.375000,19.461957
2458354.497651,167.737201,300311.687500,19.355072
2458354.516941,167.730674,197220.171875,19.811544
2458354.536232,167.724142,178859.062500,19.917564
2458354.555522,167.717606,235833.687500,19.617246
2458354.574812,167.711066,193815.578125,19.830208
2458354.594102,167.704521,216905.078125,19.707925
2458354.613392,167.697972,240783.046875,19.594454
2458354.632682,167.691418,249087.281250,19.557559
2458354.651972,167.684860,264233.156250,19.493389
2458354.671262,167.678298,207248.093750,19.757050
