JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458354.092559,167.873250,209462.171875,19.747929
2458354.111849,167.866816,210043.437500,19.744840
2458354.131139,167.860378,209833.781250,19.745844
2458354.150429,167.853935,210739.312500,19.741088
2458354.169719,167.847488,211026.859375,19.739527
2458354.189009,167.841036,211260.937500,19.738243
2458354.208299,167.834580,211767.734375,19.735561
2458354.227590,167.828119,212074.000000,19.733912
2458354.246880,167.821654,212155.765625,19.733413
2458354.266170,167.815184,212683.718750,19.730634
2458354.285460,167.808710,212936.750000,19.729262
2458354.304750,167.802231,213347.093750,19.727091
2458354.324040,167.795748,213705.593750,19.725188
2458354.343330,167.789261,213938.984375,19.723922
2458354.362620,167.782769,214377.140625,19.721621
2458354.381911,167.776272,214790.031250,19.719451
2458354.401201,167.769771,215092.859375,19.717841
2458354.420491,167.763266,215357.671875,19.716424
2458354.439781,167.756756,215818.734375,19.714022
2458354.459071,167.750242,215817.203125,19.713949
2458354.478361,167.743724,216465.171875,19.710613
2458354.497651,167.737201,216825.296875,19.708728
2458354.516941,167.730674,217167.421875,19.706935
2458354.536232,167.724142,217489.281250,19.705247
2458354.555522,167.717606,217883.031250,19.703202
2458354.574812,167.711066,218158.078125,19.701752
2458354.594102,167.704521,218529.203125,19.699826
2458354.613392,167.697972,218845.687500,19.698174
2458354.632682,167.691418,219172.453125,19.696473
2458354.651972,167.684860,219581.015625,19.694370
2458354.671262,167.678298,219868.421875,19.692870
2458354.690553,167.671731,220327.046875,19.690527
2458354.709843,167.665160,220590.921875,19.689146
2458354.729133,167.658585,221113.906250,19.686495
2458354.748423,167.652005,221484.515625,19.684596
2458354.767713,167.645421,221734.531250,19.683290
2458354.787003,167.638833,222063.156250,19.681601
2458354.806293,167.632240,222388.421875,19.679931
2458354.825583,167.625643,222777.156250,19.677954
2458354.844874,167.619042,223085.046875,19.676374
2458354.864164,167.612437,223518.093750,19.674188
2458354.883454,167.605827,223769.578125,19.672886
2458354.902744,167.599213,224411.312500,19.669696
2458354.922034,167.592594,224530.390625,19.669039
2458354.941324,167.585972,225139.531250,19.666017
2458354.960614,167.579345,225312.109375,19.665104
2458354.979904,167.572713,225642.500000,19.663432
2458354.999195,167.566078,226044.953125,19.661417
2458355.018485,167.559438,226527.421875,19.659021
2458355.037775,167.552794,226693.625000,19.658144
2458355.057065,167.546146,227329.140625,19.655023
2458355.076355,167.539493,227705.546875,19.653146
2458355.095645,167.532837,227836.015625,19.652443
2458355.114935,167.526175,228182.000000,19.650715
2458355.134225,167.519510,228426.203125,19.649473
2458355.153515,167.512841,228910.828125,19.647091
2458355.172806,167.506167,229254.953125,19.645379
2458355.192096,167.499489,229798.890625,19.642725
2458355.211386,167.492807,230064.375000,19.641390
2458355.230676,167.486121,230593.375000,19.638816
2458355.249966,167.479430,230735.671875,19.638065
2458355.269256,167.472735,231162.640625,19.635977
2458355.288546,167.466037,231448.000000,19.634556
2458355.307836,167.459333,231858.234375,19.632553
2458355.327127,167.452626,232174.078125,19.630994
2458355.346417,167.445915,232956.906250,19.627258
2458355.365707,167.439199,232919.750000,19.627350
2458355.384997,167.432479,233510.828125,19.624517
2458355.404287,167.425755,233660.234375,19.623742
2458355.423577,167.419027,234115.375000,19.621548
2458355.442867,167.412295,234361.437500,19.620326
2458355.462157,167.405559,234910.843750,19.617703
2458355.481448,167.398818,235214.843750,19.616218
2458355.500738,167.392073,235729.734375,19.613762
2458355.520028,167.385324,236197.562500,19.611529
2458355.539318,167.378571,236355.109375,19.610724
2458355.558608,167.371814,236635.968750,19.609353
2458355.577898,167.365053,237097.203125,19.607158
2458355.597188,167.358288,237413.468750,19.605629
2458355.616478,167.351518,237867.125000,19.603476
2458355.635769,167.344745,238398.046875,19.600974
2458355.655059,167.337967,238572.796875,19.600097
2458355.674349,167.331186,239484.109375,19.595876
2458355.693639,167.324400,239353.203125,19.596389
2458355.712929,167.317610,239959.671875,19.593560
2458355.732219,167.310816,240187.000000,19.592451
2458355.751509,167.304018,240545.765625,19.590749
2458355.770799,167.297216,240862.406250,19.589240
2458355.790090,167.290410,241545.578125,19.586083
2458355.809380,167.283599,241693.062500,19.585339
2458355.828670,167.276785,242332.218750,19.582391
2458355.847960,167.269967,242625.609375,19.580996
2458355.867250,167.263145,242889.109375,19.579736
2458355.886540,167.256318,242912.453125,19.579550
2458355.905830,167.249488,243614.046875,19.576338
2458355.925120,167.242653,244039.093750,19.574364
2458355.944411,167.235815,244453.765625,19.572439
2458355.963701,167.228972,245048.140625,19.569721
2458355.982991,167.222126,245254.578125,19.568725
2458356.002281,167.215275,246153.984375,19.564670
2458356.021571,167.208421,245977.562500,19.565367
2458356.040861,167.201562,246410.078125,19.563378
2458356.060151,167.194699,246734.156250,19.561870
2458356.079441,167.187833,247143.875000,19.559987
2458356.098732,167.180962,247600.468750,19.557901
2458356.118022,167.174088,248424.015625,19.554215
2458356.137312,167.167209,248331.312500,19.554539
2458356.156602,167.160327,249007.890625,19.551503
2458356.175892,167.153440,249178.437500,19.550678
2458356.195182,167.146550,249631.375000,19.548625
2458356.214472,167.139656,249856.953125,19.547563
2458356.233762,167.132757,250431.953125,19.544986
2458356.253053,167.125855,250772.062500,19.543431
2458356.272343,167.118949,251225.703125,19.541387
2458356.291633,167.112039,251789.453125,19.538872
2458356.310923,167.105125,251970.671875,19.538009
2458356.330213,167.098207,252870.921875,19.534056
2458356.349503,167.091285,252786.156250,19.534338
2458356.368793,167.084359,253332.312500,19.531913
2458356.388083,167.077429,253731.453125,19.530123
2458356.407374,167.070495,254078.000000,19.528559
2458356.426664,167.063558,254489.484375,19.526721
2458356.445954,167.056616,255496.328125,19.522352
2458356.465244,167.049671,255222.343750,19.523435
2458356.484534,167.042721,255909.078125,19.520436
2458356.503824,167.035768,256307.093750,19.518668
2458356.523114,167.028811,256548.078125,19.517566
2458356.542404,167.021850,256934.546875,19.515850
2458356.561695,167.014885,257383.562500,19.513872
2458356.580985,167.007917,257701.875000,19.512449
2458356.600275,167.000944,258201.984375,19.510262
2458356.619565,166.993968,258648.687500,19.508304
2458356.638855,166.986987,259067.828125,19.506464
2458356.658145,166.980003,259473.000000,19.504686
2458356.677435,166.973015,259876.218750,19.502918
2458356.696725,166.966023,260271.046875,19.501188
2458356.716015,166.959028,260633.625000,19.499595
2458356.735306,166.952028,261116.031250,19.497506
2458356.754596,166.945025,261427.796875,19.496128
2458356.773886,166.938018,262539.218750,19.491441
2458356.793176,166.931007,262312.812500,19.492296
2458356.812466,166.923992,262743.562500,19.490433
2458356.831756,166.916973,263117.562500,19.488806
2458356.851046,166.909951,263617.906250,19.486662
2458356.870336,166.902924,264067.625000,19.484730
2458356.889627,166.895894,264726.125000,19.481944
2458356.908917,166.888860,264852.218750,19.481345
2458356.928207,166.881823,265348.656250,19.479230
2458356.947497,166.874781,265618.812500,19.478043
2458356.966787,166.867736,266157.343750,19.475763
2458356.986077,166.860687,266221.375000,19.475420
2458357.005367,166.853634,267029.250000,19.472048
2458357.024657,166.846578,267385.562500,19.470518
2458357.043948,166.839518,267825.468750,19.468652
2458357.063238,166.832454,268371.031250,19.466361
2458357.082528,166.825386,268699.750000,19.464950
2458357.101818,166.818314,269560.062500,19.461397
2458357.121108,166.811239,269587.093750,19.461206
2458357.140398,166.804160,269975.406250,19.459562
2458357.159688,166.797077,270446.812500,19.457586
2458357.178978,166.789990,270822.406250,19.455997
2458357.198269,166.782900,271289.187500,19.454045
2458357.217559,166.775806,272208.906250,19.450289
2458357.236849,166.768708,272205.906250,19.450219
2458357.256139,166.761607,272624.156250,19.448470
2458357.275429,166.754502,273010.781250,19.446849
2458357.294719,166.747393,273533.343750,19.444691
2458357.314009,166.740281,273494.187500,19.444765
2458357.333299,166.733164,274418.156250,19.441021
2458357.352590,166.726044,274826.125000,19.439326
2458357.371880,166.718921,275159.062500,19.437929
2458357.391170,166.711793,275653.656250,19.435898
2458357.410460,166.704662,276254.906250,19.433450
2458357.429750,166.697528,276749.250000,19.431427
2458357.449040,166.690389,277006.812500,19.430335
2458357.468330,166.683247,277418.562500,19.428640
2458357.487620,166.676102,277829.812500,19.426950
2458357.506911,166.668952,278294.062500,19.425055
2458357.526201,166.661799,278763.031250,19.423145
2458357.545491,166.654642,279754.343750,19.419209
2458357.564781,166.647482,279700.000000,19.419338
2458357.584071,166.640318,280031.906250,19.417968
2458357.603361,166.633151,280515.000000,19.416014
2458357.622651,166.625979,281139.156250,19.413519
2458357.641941,166.618804,281463.218750,19.412186
2458357.661232,166.611626,282142.875000,19.409485
2458357.680522,166.604444,282427.687500,19.408308
2458357.699812,166.597258,282720.531250,19.407101
2458357.719102,166.590069,283102.531250,19.405552
2458357.738392,166.582876,283777.906250,19.402883
2458357.757682,166.575679,284248.843750,19.401001
2458357.776972,166.568479,284707.312500,19.399169
2458357.796262,166.561275,285313.625000,19.396777
2458357.815553,166.554068,285591.812500,19.395637
2458357.834843,166.546857,285915.500000,19.394324
2458357.854133,166.539642,286632.250000,19.391524
2458357.873423,166.532424,287425.187500,19.388442
2458357.892713,166.525202,287466.718750,19.388203
2458357.912003,166.517977,287853.125000,19.386662
2458357.931293,166.510748,288505.093750,19.384124
2458357.950583,166.503516,288829.937500,19.382820
2458357.969874,166.496280,289376.375000,19.380685
2458357.989164,166.489040,289955.562500,19.378432
2458358.008454,166.481797,290251.625000,19.377242
2458358.027744,166.474550,290419.906250,19.376530
2458358.047034,166.467300,290987.625000,19.374328
2458358.066324,166.460046,291747.843750,19.371412
2458358.085614,166.452789,291999.687500,19.370393
2458358.104904,166.445528,292656.500000,19.367872
2458358.124195,166.438264,293052.000000,19.366323
2458358.143485,166.430996,293386.125000,19.365003
2458358.162775,166.423725,293663.468750,19.363895
2458358.182065,166.416450,294482.093750,19.360790
2458358.201355,166.409171,295032.218750,19.358682
2458358.220645,166.401889,295385.531250,19.357300
2458358.239935,166.394604,295773.750000,19.355791
2458358.259225,166.387315,296296.968750,19.353790
2458358.278515,166.380022,296737.343750,19.352095
2458358.297806,166.372726,297261.093750,19.350098
2458358.317096,166.365427,298087.125000,19.347003
2458358.336386,166.358124,298270.468750,19.346253
2458358.355676,166.350818,298360.593750,19.345842
2458358.374966,166.343508,299102.000000,19.343065
2458358.394256,166.336194,299741.406250,19.340664
2458358.413546,166.328878,299891.718750,19.340037
2458358.432836,166.321557,300709.843750,19.336997
2458358.452127,166.314233,300970.875000,19.335972
2458358.471417,166.306906,301355.812500,19.334502
2458358.490707,166.299576,301710.937500,19.333141
2458358.509997,166.292241,302519.281250,19.330153
2458358.529287,166.284904,302952.437500,19.328517
2458358.548577,166.277563,303562.000000,19.326252
2458358.567867,166.270218,304005.937500,19.324583
2458358.587157,166.262870,304332.250000,19.323336
2458358.606448,166.255519,304748.937500,19.321768
2458358.625738,166.248164,305410.531250,19.319331
2458358.645028,166.240806,306254.843750,19.316251
2458358.664318,166.233445,306485.281250,19.315351
